"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1799991772002783341,""Mon Jun 10 08:06:25 +0000 2024"",""0"",""@voguisch Gwe juga kaget dan bingung pas liat ada komen gini kek ? Gwe tau kita kecewa tp g semudah itu batalin kontrak apalagi yg jdi pertaruhan brand NCT akan jelek dimata company2 produk. Dri awal boikot aja udh nyeleneh narasinya. Semua yg dilakuin Dream masuk base semua."",""1800077042807124370"","""",""voguisch"",""in"","""",""0"",""0"",""0"",""https://x.com/thismyarea5/status/1800077042807124370"",""1289577296932741121"",""thismyarea5"""
"1799943176977076427,""Mon Jun 10 06:40:07 +0000 2024"",""0"",""@nct_menfess Yg jelas kalau no. 1 tunggu aja bakal ada colab² lagi sama produk pro zion mendatang dan siklus bakal terulang paling naikin ht kirim truk ya gitu² aja trs. Sebenernya lebih efektif boikot agensi dan semua grup dinaungan agensi itu tapi yaaa gini aja berantem."",""1800055326328414275"","""",""nct_menfess"",""in"","""",""0"",""1"",""0"",""https://x.com/reafragarea/status/1800055326328414275"",""1792171965824077824"",""reafragarea"""
"1800054261562441877,""Mon Jun 10 06:35:54 +0000 2024"",""0"",""jujur w bodo amatan sama orang yang ga mau boikot produk terafiliasi israel tapi kalo sampe jokes goblok kayagini rasanya orang kayagini tone deaf dan goblok berlapis banget. kalo emang jokes circlenya jelek minimal gausah bangga sampe di upload ke sosial media sih "",""1800054261562441877"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/snailpacehiker/status/1800054261562441877"",""582629256"",""snailpacehiker"""
"1800053550162321533,""Mon Jun 10 06:33:04 +0000 2024"",""0"",""Ini siapa yang mulai dah upload foto/video lagi konsumsi produk boikot sambil bawa2 anak palestina. Maksudnya apaansi? Gua rasa org waras kelakuan nya gak kaya mereka. Disebut binatang pun binatang gak pantes disamain sama mereka. Speechless sumpah marah bgt w anjinggg"",""1800053550162321533"","""","""",""in"",""Newt Scamander Pocket "",""0"",""3"",""0"",""https://x.com/anatanokiko/status/1800053550162321533"",""1336870802868690945"",""anatanokiko"""
"1800052185763610779,""Mon Jun 10 06:27:39 +0000 2024"",""0"",""Gue dah ga peduli si orang gamau boikot tp kalo begini mah keterlaluan anjer. Sok keren. Adek gue aja umur 6 taun bisa berempati dan tau itu produk boikot masa yang lebih gede gabisa jaga sikap malah terkesan ngejek"",""1800052185763610779"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/tasarnm/status/1800052185763610779"",""3703956972"",""tasarnm"""
"1800051189830291827,""Mon Jun 10 06:23:41 +0000 2024"",""0"",""Masih kecil udh belagu anjg. Satu circle ga ada otak semua. Sama aja mereka ngehina orang2 yg boikot itu produk. Kurangajar.."",""1800051189830291827"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/bambeebi/status/1800051189830291827"",""1277170765826109441"",""bambeebi"""
"1800030114694238461,""Mon Jun 10 06:20:51 +0000 2024"",""1"",""@2lrshi Pan sama lu juga pake produk yang di boikot tapi malah yang lu serang orang lain Oh ini yang dulu pansos dari akun @txtdrkeylie itu ya "",""1800050476429574526"","""",""2lrshi"",""in"","""",""0"",""1"",""1"",""https://x.com/M4vikalp/status/1800050476429574526"",""1489271617129955328"",""M4vikalp"""
"1799860329377354017,""Mon Jun 10 06:13:32 +0000 2024"",""0"",""@jagoanbukdel @infoXwor_ Pada ke trigger aslinya simple sih gausah ditanggepin. Lagian palestina-israel juga masalahnya complicated bngt tidak sebatas boikot produk minuman terus selesai. Boleh tapi ya enggak maksain orang juga ikutin."",""1800048634828071205"","""",""jagoanbukdel"",""in"","""",""0"",""0"",""0"",""https://x.com/binbinpoh/status/1800048634828071205"",""1649067030807736320"",""binbinpoh"""
"1799429398397157558,""Mon Jun 10 06:13:08 +0000 2024"",""0"",""@kegblgnunfaedh bro pem boikot an di negeri kita sendiri ga begitu berdampak pada peperangan disana mau di boikot diseluruh indonesia pun tetap saja gaza di bombardir di bredet karena semua produk yang kalian boikot berpusat di amerika negara adi daya. bijak lah dalam bertindak."",""1800048534231843132"","""",""kegblgnunfaedh"",""in"","""",""0"",""1"",""0"",""https://x.com/arghhya/status/1800048534231843132"",""1635453977532985345"",""arghhya"""
"1800047758419853646,""Mon Jun 10 06:10:03 +0000 2024"",""0"",""Boikot pada setengah2 mending kita striming aja orang BG yg jd BA produk boikot aja fansnya adem2 aja"",""1800047758419853646"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/lalalobeuO07/status/1800047758419853646"",""1035865550721757184"",""lalalobeuO07"""
"1799428833403371877,""Mon Jun 10 06:04:47 +0000 2024"",""0"",""@AmalaNovi @Hamaspesek Kalo niat tolongin Hamas sono lu berangkat ikut perang biar mampus lu di sana...jgn teriak2 boikot produk yang nyatanya banyak orang hidup dri produk itu...ketimbang karyawannya mampus mending lu aja yg mampus...heran guaaa...‍️‍️‍️"",""1800046433942622456"","""",""AmalaNovi"",""in"","""",""0"",""0"",""0"",""https://x.com/GoodsMine64336/status/1800046433942622456"",""1768786191288258560"",""GoodsMine64336"""
"1800043812926185788,""Mon Jun 10 05:54:22 +0000 2024"",""1"",""Alhamdulillah untungnya circle gue mah saling mengingatkan soal boikot. Kalo jajan juga lebih aware takutnya ngambil produk boikot hehehehehe"",""1800043812926185788"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/nanaaagurls/status/1800043812926185788"",""1298817285847539712"",""nanaaagurls"""
"1799956115717063144,""Mon Jun 10 05:53:13 +0000 2024"",""3"",""@_SimpleThink_ Mari tingkatkan gerakan boikot NKRI untuk produk zionis Israel dan sekutunya !!!"",""1800043522772615568"","""",""_SimpleThink_"",""in"","""",""0"",""0"",""0"",""https://x.com/AnwarOjat/status/1800043522772615568"",""1630976361652424704"",""AnwarOjat"""
